                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.20361,                0.91992,                      1,                0.40677,             0.00059615,             0.00059615,             0.00059615
                     68,                0.20092,                0.92543,                      1,                0.39017,             0.00057867,             0.00057867,             0.00057867
                     69,                0.20292,                0.93143,                      1,                0.39426,             0.00056119,             0.00056119,             0.00056119
                     70,                0.19902,                0.93393,                      1,                0.38986,             0.00054371,             0.00054371,             0.00054371
                     71,                0.19798,                0.93143,                      1,                0.39328,             0.00052623,             0.00052623,             0.00052623
                     72,                0.18958,                0.93594,                      1,                0.38901,             0.00050874,             0.00050874,             0.00050874
                     73,                0.18968,                0.93343,                      1,                0.38837,             0.00049126,             0.00049126,             0.00049126
                     74,                0.18776,                0.92993,                      1,                0.39017,             0.00047378,             0.00047378,             0.00047378
                     75,                 0.1831,                0.93794,                      1,                0.38657,              0.0004563,              0.0004563,              0.0004563
                     76,                0.18182,                0.93794,                      1,                0.38412,             0.00043881,             0.00043881,             0.00043881
                     77,                0.18343,                0.93393,                      1,                0.38651,             0.00042133,             0.00042133,             0.00042133
                     78,                0.17005,                0.93894,                      1,                0.38138,             0.00040385,             0.00040385,             0.00040385
                     79,                0.17165,                0.93594,                      1,                0.38052,             0.00038636,             0.00038636,             0.00038636
                     80,                0.17289,                0.94144,                      1,                0.38223,             0.00036888,             0.00036888,             0.00036888
                     81,                0.16531,                0.94344,                      1,                0.37836,              0.0003514,              0.0003514,              0.0003514
                     82,                0.16663,                0.94094,                      1,                 0.3808,             0.00033392,             0.00033392,             0.00033392
                     83,                0.15811,                0.94444,                      1,                0.37756,             0.00031644,             0.00031644,             0.00031644
                     84,                0.15845,                0.94294,                      1,                0.37747,             0.00029895,             0.00029895,             0.00029895
                     85,                0.15509,                0.94494,                      1,                0.37634,             0.00028147,             0.00028147,             0.00028147
                     86,                0.15225,                0.94545,                      1,                0.37601,             0.00026399,             0.00026399,             0.00026399
                     87,                0.15437,                0.94444,                      1,                0.37512,             0.00024651,             0.00024651,             0.00024651
                     88,                 0.1439,                0.94845,                      1,                0.37225,             0.00022902,             0.00022902,             0.00022902
                     89,                0.14679,                0.94745,                      1,                0.37341,             0.00021154,             0.00021154,             0.00021154
                     90,                0.14419,                0.94394,                      1,                0.37451,             0.00019406,             0.00019406,             0.00019406
                     91,                0.13326,                0.94645,                      1,                0.37308,             0.00017657,             0.00017657,             0.00017657
                     92,                  0.141,                0.94795,                      1,                0.37271,             0.00015909,             0.00015909,             0.00015909
                     93,                0.14643,                0.95045,                      1,                0.37088,             0.00014161,             0.00014161,             0.00014161
                     94,                0.13345,                0.94895,                      1,                0.37054,             0.00012413,             0.00012413,             0.00012413
                     95,                0.13577,                0.94645,                      1,                 0.3699,             0.00010665,             0.00010665,             0.00010665
                     96,                0.13078,                0.94945,                      1,                 0.3699,             8.9163e-05,             8.9163e-05,             8.9163e-05
                     97,                0.13125,                0.94945,                      1,                0.36844,              7.168e-05,              7.168e-05,              7.168e-05
                     98,                0.12936,                0.94895,                      1,                0.36823,             5.4198e-05,             5.4198e-05,             5.4198e-05
                     99,                0.13582,                0.94895,                      1,                0.36743,             3.6715e-05,             3.6715e-05,             3.6715e-05
                    100,                0.12336,                0.94945,                      1,                0.36823,             1.9233e-05,             1.9233e-05,             1.9233e-05
